nom;millesime;region;couleur;domaine
"BIB IGP du Var ""Vidaux""";2016;Méditerrannée (IGP);?;Tour des Vidaux
"BIB IGP du Var ""Vidaux""";2016;Méditerrannée (IGP);?;Tour des Vidaux
"BIB IGP du Var ""Vidaux""";2016;Méditerrannée (IGP);?;Tour des Vidaux
"IGP du Var  "" Vidaux"" ";2016;Méditerrannée (IGP);Rosé;Tour des Vidaux
"IGP du Var  "" Vidaux"" ";2016;Méditerrannée (IGP);Rosé;Tour des Vidaux
"IGP du Var  "" Vidaux """;2016;Méditerrannée (IGP);Rouge;Tour des Vidaux
"IGP du Var   "" Vidaux """;2016;Méditerrannée (IGP);Blanc;Tour des Vidaux
"IGP du Var  "" Vidaux"" ";2016;Méditerrannée (IGP);Rosé;Tour des Vidaux
"IGP du Var  "" Vidaux """;2016;Méditerrannée (IGP);Rouge;Tour des Vidaux
"IGP du Var   "" Vidaux """;2016;Méditerrannée (IGP);Blanc;Tour des Vidaux
"BIB Côtes de provence ""Réserve des Vidaux""  ";2016;Provence;Rosé;Tour des Vidaux
"BIB  Côtes de provence ""Réserve des Vidaux""  ";2016;Provence;Rouge;Tour des Vidaux
"Cotes de provence "" Réserve des Vidaux """;2016;Provence;Rosé;Tour des Vidaux
"Cotes de provence "" Réserve des Vidaux """;2016;Provence;Rosé;Tour des Vidaux
"Cotes de provence "" Réserve des Vidaux """;2016;Provence;Rouge;Tour des Vidaux
"Cotes de provence "" Réserve des Vidaux""";2016;Provence;Blanc;Tour des Vidaux
"Cotes de provence "" Réserve des Vidaux """;2016;Provence;Rosé;Tour des Vidaux
"Cotes de provence "" Réserve des Vidaux """;2016;Provence;Rouge;Tour des Vidaux
"Cotes de provence "" Réserve des Vidaux""";2016;Provence;Blanc;Tour des Vidaux
"VINS BIO ET BIODYNAMIE Cotes de provence "" Réal """;2015;Provence;Rosé;Clos Réal (Pierrefeu)
"VINS BIO ET BIODYNAMIE  Cotes de provence "" Réal "" (Dispo Mai 2017)";2016;Provence;Rosé;Clos Réal (Pierrefeu)
"VINS BIO ET BIODYNAMIE  Cotes de provence "" Réal ""  ";2015;Provence;Rosé;Clos Réal (Pierrefeu)
"VINS BIO ET BIODYNAMIE  Cotes de provence "" Réal ""  ";2015;Provence;Rosé;Clos Réal (Pierrefeu)
"VINS BIO ET BIODYNAMIE  Cotes de provence "" Réal ""  ";2014;Provence;Rouge;Clos Réal (Pierrefeu)
